Id,SalePrice
1461.0,137078.3856049939
1462.0,246523.70251456043
1463.0,138080.5883138054
1464.0,147786.06420713663
1465.0,279143.7687035543
1466.0,140793.52434861194
1467.0,113550.63901800616
1468.0,189003.21632447513
1469.0,190795.79087913502
1470.0,138919.4486168879
1471.0,82558.16769934585
1472.0,196200.4277664204
1473.0,151556.6913375794
1474.0,175411.6763694766
1475.0,97452.03696938697
1476.0,375258.8995674201
1477.0,181568.19593718974
1478.0,176960.79640838876
1479.0,214580.9436449078
1480.0,135627.9371468816
1481.0,313104.1894165268
1482.0,115053.60138506582
1483.0,187011.39725696808
1484.0,116991.79046517285
1485.0,152013.06849096203
1486.0,254939.20245393785
1487.0,112713.94048492936
1488.0,82383.92751113325
1489.0,111841.50833986979
1490.0,265679.84108887473
1491.0,112816.32146272482
1492.0,129972.74177902285
1493.0,190912.53457488958
1494.0,163823.85402975045
1495.0,209439.53918665322
1496.0,261500.58672488062
1497.0,148467.3774109194
1498.0,155553.72364781797
1499.0,127869.65648459597
1500.0,174411.85059207026
1501.0,185274.92508787336
1502.0,195264.7273849817
1503.0,210400.1369625912
1504.0,170609.96980054723
1505.0,176325.71387869725
1506.0,159162.00800307374
1507.0,203209.94556896202
1508.0,109699.54475018522
1509.0,174793.07641404355
1510.0,95961.40826374246
1511.0,90682.95108394744
1512.0,144038.32416005945
1513.0,110760.43042096961
1514.0,349542.99418561254
1515.0,281408.35451211315
1516.0,302470.538733589
1517.0,299319.03773295134
1518.0,462855.1256112736
1519.0,330714.68319045054
1520.0,216560.93345431797
1521.0,174865.54674885795
1522.0,165519.18248029146
1523.0,177516.820935247
1524.0,193294.71096299356
1525.0,328407.9521155455
1526.0,234677.15681804297
1527.0,214819.39644133393
1528.0,249811.55888168933
1529.0,207300.75384633802
1530.0,114654.57589355484
1531.0,192458.45888813818
1532.0,294056.69430284994
1533.0,287959.266525452
1534.0,241704.7565945275
1535.0,170992.13610087754
1536.0,174596.61200360395
1537.0,145898.1564267981
1538.0,138453.87907901034
1539.0,198357.75434708362
1540.0,125630.62181857601
1541.0,301104.5413389425
1542.0,236800.0808680239
1543.0,226576.30184599617
1544.0,185457.62994008465
1545.0,260685.66656439193
1546.0,195979.16171757877
1547.0,142844.49605105212
1548.0,145523.22741968138
1549.0,156774.0322159985
1550.0,186960.68955681147
1551.0,149648.3810429359
1552.0,175168.78820180334
1553.0,216359.4222834627
1554.0,164163.7564537134
1555.0,182655.65921121277
1556.0,121937.60947272507
1557.0,227882.83776605688
1558.0,133898.08250964107
1559.0,137576.71271512983
1560.0,184257.46478703758
1561.0,105064.35456695966
1562.0,118472.88911259174
1563.0,117195.04074750282
1564.0,119055.64705642127
1565.0,103269.30266835447
1566.0,140646.68110430334
1567.0,147485.3969346746
